,Title,Price,Location,BuildArea,NoOfBedrooms,NoOfBathrooms
0,PERMAI RIA 700sf Original Unit TANJUNG BUNGAH Near Vantage,280000.0,46.0,700.0,2.0,1.0
1,The Oasis Condomonium (Renovated) For Sale,585000.0,19.0,1141.0,2.0,1.0
2,Kayangan Puri Mutiara (KPM) / Pearlvue Heights For Sale Direct Owner,420000.0,46.0,800.0,2.0,1.0
3,flat desa wangsa,210000.0,8.0,700.0,1.0,2.0
4,AZURIA CONDO 700sf Fully Renovated TANJUNG BUNGAH Near Vantage,350000.0,47.0,700.0,2.0,1.0
5,One Foresta Fully Furnished 2 Carparks Bayan Lepas WORTH BUY !!,475000.0,11.0,900.0,2.0,1.0
6,BEST BUY👍Renovated Taman Tanjung Apartment Raja Uda,269000.0,18.0,850.0,2.0,1.0
7,2carpark Quayside Condo Partially furnished Seaview,445000.0,18.0,1328.0,2.0,1.0
8,"Eco Terrace (New) Condominium with 2008sft at Paya Terubong ,Air Itam",1250000.0,28.0,2008.0,3.0,3.0
9,Below Market Price! Elit Heights Condo 1011sqft 2 Car Park Bayan Baru,520000.0,11.0,1011.0,2.0,1.0
10,Setia Triangle Condo Original 1295sf Low Density At Bayan Lepas Ftz,525000.0,11.0,1295.0,2.0,1.0
11,N Park FURNISH & RENO | Seaview 100% LOAN | Batu Uban | Near USM,300000.0,19.0,750.0,2.0,1.0
12,Sri Abadi Apartment Sungai Ara Low Density 1 Car Park Freehold,288000.0,40.0,780.0,2.0,1.0
13,"Ramah Pavilion 1050sf Furnished, Teluk Kumbar",398000.0,11.0,1050.0,2.0,1.0
14,LEADER GARDEN 1140sf Renovated TANJUNG BUNGAH Near Vantage,480000.0,47.0,1140.0,2.0,1.0
15,Taman Mesra Indah Apartment Bagan Lalang,280000.0,18.0,970.0,2.0,1.0
16,Villa Emas Condo WEll MAINTAIN GOOD CONDITION 1 Car Park Queensbay,420000.0,11.0,850.0,2.0,1.0
17,[WorthBuy] Arena Residence 1250sf Bayan Baru Basic unit 2car parks,630000.0,10.0,1250.0,2.0,1.0
18,Taman Batu Uban 700sf 2 CAR PARK Renovated Furnish at Batu Uban,280000.0,9.0,700.0,2.0,1.0
19,Arena 1300sf Residence Suite Bayan Baru 3 Car parks,660000.0,10.0,1300.0,2.0,1.0
20,One Foresta 900sf Low Floor 2 Carpark Bayan Lepas,430000.0,11.0,900.0,2.0,1.0
21,Forest Ville 1000sf Market View 2 Car Park At Bayan Lepas Ftz Airport,495000.0,11.0,1000.0,2.0,1.0
22,Best Summer Place Nice View in Jelutong Karpal Singh Price Negotiable,595000.0,20.0,1100.0,2.0,1.0
23,Tamarind Condo Renovated SEAVIEW 2 Car Park Tanjong Tokong Best Buy,880000.0,46.0,1047.0,2.0,1.0
24,"Pangsapuri Seri Melur , 1070Sqft , Raja Uda , Butterworth , Bagan Ajam",355000.0,18.0,1070.0,2.0,1.0
25,"Pangsapuri Sri Mekar , Newly Painted Unit , Bagan Lalang , Butterworth",308000.0,18.0,950.0,2.0,1.0
26,Delima Intan｜Nearby Industrial Area｜Good Location Juru Near AutoCity,245000.0,23.0,786.0,2.0,1.0
27,Flat paya terubung (GF),160000.0,28.0,550.0,1.0,0.0
28,GREENLANE HEIGHTS BLOCK 3 700sf Renovated GREENLANE Near Penang Bridge,320000.0,21.0,700.0,2.0,0.0
29,Skycube Residence 1250sqft With Balcony Reno Furnish Cheapest,610000.0,40.0,1250.0,2.0,1.0
30,Vistaria 1050sf Full Furnish With Kitchen Cabinet At Sungai Ara,450000.0,40.0,1050.0,2.0,1.0
31,Reflections Condo 1260sqf 2cpark Fully Renovated Unblock View Airport,650000.0,11.0,1260.0,2.0,1.0
32,98 Nibong Residence 1818sqft Unblock View 2 Carpark Sungai Nibong,830000.0,19.0,1818.0,2.0,1.0
33,Vistaria 1050sf Partial Furnish With Kitchen Cabinet At Sungai Ara,438000.0,40.0,1050.0,2.0,1.0
34,THE AMARENE [1200sf DUAL KEY] Brand New Condition 2Cpark [HIGH FLOOR],690000.0,11.0,1200.0,2.0,2.0
35,SERI SEMPADAN 700sf Renovated AYER ITAM Near Jalan Boundary,238000.0,2.0,700.0,2.0,0.0
36,"(Video) Birch The Plaza, Times Square, Penang, High Floor, Nice View",550000.0,20.0,1050.0,2.0,1.0
37,BIRCH THE PLAZA 1050sf Corner Unit TIMES SQUARE Near Jalan Dato Kramat,550000.0,20.0,1050.0,2.0,1.0
38,All Season Park 856 sqft High Floor Hillview Farlim Ayer Itam Nego,520000.0,2.0,856.0,2.0,1.0
39,Abel Residence condominium - Residensi Sejati Bukit Tengah,550000.0,15.0,1130.0,2.0,1.0
40,"The View Condo , High Floor , 2 Carparks , Seaview , Gelugor",1200000.0,19.0,2068.0,2.0,4.0
41,Delima Emas condo Reno full furnish 2 carparks near Icon City,408000.0,23.0,1257.0,2.0,1.0
42,Juru Delima Emas condo 2 carparks near Auto City Bukit Minyak,372000.0,23.0,1257.0,2.0,1.0
43,FIERA VISTA [1450sf] Tastefully Renovated Full Furnished 2CP [WORTH],800000.0,11.0,1450.0,2.0,2.0
44,[ 2 CARPARKS ] Serina Bay | RENOVATED | 900sf | WORTH | Jelutong,360000.0,22.0,900.0,2.0,1.0
45,FIERA VISTA [1450sf] Basic Full Furnished 2CP High Floor [POOL VIEW],688000.0,11.0,1450.0,2.0,2.0
46,FIERA VISTA [1650sf] Brand New Condition 2Cpark [AIRPORT VIEW] RARE,750000.0,11.0,1650.0,3.0,3.0
47,FIERA VISTA [1400sf] Partially Furnished Renovated 2Cpark [4 BEDROOMS],700000.0,11.0,1400.0,3.0,2.0
48,Greenlane Height Block G - 1800' - Renovated - 2 Car Parks - Greenlane,818000.0,20.0,1800.0,3.0,1.0
49,Summer Place Seaview 1100sf @ Jelutong Karpal Singh Drive,595000.0,20.0,1100.0,2.0,1.0
50,SUMMERSKYE RESIDENCE [1100sf] Original Condition 2Cpark [LOW FLOOR],650000.0,11.0,1100.0,2.0,1.0
51,SUMMERSKYE RESIDENCE [1100sf] Brand New Condition 2Cpark [HIGH FLOOR],630000.0,11.0,1100.0,2.0,1.0
52,"Good Buy unit, Vertu Resort Condo At Batu Kawan, Renovated unit.",588000.0,7.0,1180.0,3.0,1.0
53,taman air itam apartment at taman padang tembak for sales,360000.0,2.0,700.0,2.0,0.0
54,"Raffel Tower Condo 1,600 sf | Partially Renovated | Minden Height",1228000.0,19.0,1600.0,2.0,2.0
55,"Middleton Condo Unit 1,409 sf SEAVIEW 2 carparks Minden Height",1070000.0,19.0,1409.0,2.0,2.0
56,NEW Casa Utopia 2Carpark Butterworth Sungai Dua Utama,368000.0,18.0,1012.0,2.0,1.0
57,[ WORTH ] Quaywest Residence | 760sf | Near Queensbay Bayan Lepas,460000.0,9.0,760.0,1.0,0.0
58,"Venice Residency, Project Condo, 850sf , 1-2CP, Italy Style Facilities",428000.0,19.0,850.0,2.0,1.0
59,Kondo Mutiara ( Bandar Perda ),215000.0,15.0,700.0,2.0,1.0
60,"Setia Triangle Residences, Ground Floor Garden Unit, Bayan lepas, Good",670000.0,11.0,1658.0,2.0,2.0
61,GARDENS VILLE [1680sf GARDEN UNIT] Well Maintain Kitchen Reno [RARE],660000.0,40.0,1680.0,2.0,1.0
62,GARDENS VILLE [1120sf] Basic Renovated Condition 2Cpark [LOW FLOOR],500000.0,40.0,1120.0,2.0,1.0
63,High Floor | Beautiful Sea View| I-Santorini | 2 parking,530000.0,46.0,850.0,2.0,1.0
64,High Floor Value Buy Basic Reno Greenlane Park 850sf City View,450000.0,21.0,850.0,2.0,1.0
65,Idaman Lavender 1 Corner Sungai Ara Bayan Lepas,333000.0,40.0,750.0,2.0,1.0
66,Desa Pinang 1 Jelutong Sungai Pinang,255000.0,22.0,650.0,2.0,1.0
67,Waterside Residence 1270sf Seaview The Light Gelugor,1200000.0,19.0,1270.0,2.0,1.0
68,City View Greenlane Park 850sf Original High Floor,450000.0,21.0,850.0,2.0,1.0
69,Luminari Residence 947Sf CHEAPEST IN MARKET Nr Butterworth Ocean,540000.0,18.0,947.0,1.0,1.0
70,Logan Residency 1000Sf BEST DEAL Nr Georgetown Scott Mansion Ville,780000.0,20.0,1000.0,1.0,1.0
71,The Navens condo 1370Sf BRAND NEW UNIT Nr Bukit Mertajam Tropicale,438000.0,15.0,1370.0,2.0,1.0
72,Desa Baiduri 624Sf NICELY RENOVATED Nr Ayer Itam Sunshine ShineVille,240000.0,2.0,624.0,2.0,0.0
73,Taman Bukit Jambul 890Sf NICELY RENOVATED Nr Fair way Seri Nibung,328000.0,14.0,890.0,2.0,1.0
74,Taman Bukit Jambul 890Sf NICELY RENOVATED Nr Fair view Seri Nibung,348000.0,14.0,890.0,2.0,1.0
75,Taman Seri Damai Apt 802Sf NICELY RENOVATED Nr Jelutong Mewah Impian,350000.0,22.0,802.0,2.0,1.0
76,Centrio Avenue 680Sf GOOD CONDITION Nr Gambir Gambier Mutiara Jade,340000.0,19.0,680.0,2.0,1.0
77,Ixora Height 960Sf NICE RENOVATED WORTH BUY!!Nr Lip Sin Jubilee Nibong,515000.0,44.0,960.0,2.0,1.0
78,Bj Court Condo 700Sf NICELY RENOVATED Nr Krystal Suria Bukit Jambul,243000.0,14.0,700.0,2.0,1.0
79,Vista Relau Apt 800Sf RENOVATED FURNISHED Nr Alor Vista Desa Relau,350000.0,36.0,850.0,2.0,1.0
80,"The View Condo , 3 Car Parks , High Floor Seaview , Gelugor",1200000.0,19.0,2068.0,2.0,4.0
81,"Lucerne Residence, 1140sf-1235sf, 2CP, Low Density Dual Key Concept",658000.0,11.0,1100.0,2.0,1.0
82,Fully Renovated Apartment Telaga Emas,460000.0,18.0,1330.0,3.0,1.0
83,3 Residence Condominium Kapal Singh Drive Sungai Pinang,630000.0,22.0,845.0,2.0,1.0
84,"The View Condo , 2 Car Parks , High Floor Seaview , Gelugor",999000.0,19.0,2068.0,2.0,4.0
85,Setia Tri-angle Condominium ( Low density)(4 LIFT WITH 54 RESIDENTS),700000.0,11.0,1320.0,2.0,1.0
86,Worth buy Idaman Lavender 1 Corner Sungai Ara Bayan Lepas,335000.0,40.0,750.0,2.0,1.0
87,"Skyridge Garden Condo, 1450sf, 2CP, Easy Ownership! Free MOT, Limited",724000.0,46.0,1450.0,2.0,2.0
88,Pangsapuri Mayang Bayan Lepas Mayang Pasir,365000.0,11.0,1066.0,2.0,1.0
89,Villa Kejora Apartment Fully Renovated,300000.0,11.0,700.0,2.0,1.0
90,Sri Impian | RENOVATED | Fully furnished | Farlim | Good Value,290000.0,19.0,750.0,2.0,1.0
91,Rumah luas macam landed! Golf View Apartment Bukit Jambul penang,495000.0,14.0,1128.0,2.0,1.0
92,[ Ori Unit ] Quay West Residence 750sf 1CP Well Maintain Bayan Lepas,450000.0,36.0,750.0,1.0,0.0
93,[ Renovated ] Symphony Park 750sf 1Car Park well Maintain Jelutong,450000.0,22.0,750.0,2.0,1.0
94,"Spectrum Residence Condo 1,220 sf | 5 carpark lots | Alam Permai",435000.0,15.0,1220.0,2.0,1.0
95,Middleton Condominium 1409sqft Gelugor,1064000.0,19.0,1409.0,2.0,2.0
96,"Vista Bay Condo 1,257 sf Butterworth",399000.0,18.0,1257.0,3.0,1.0
97,"Grand ocean , 2 car park , Direct Seaview , Reno , Tanjung Bungah",645000.0,47.0,1300.0,2.0,1.0
98,The Ocean View 861Sf RENOVATED FURNISHED Nr Jelutong Summer Residence,458000.0,22.0,861.0,2.0,1.0
99,"Ria Apartment Fully Furnished @ Kampung Benggali, Butterworth for Sale",230000.0,18.0,780.0,2.0,1.0
100,Melody Homes 700Sf FURNISHED RENOVATED Nr Ayer Itam Shine ville Avenue,395000.0,2.0,750.0,2.0,1.0
101,Setia Sky Ville 1239sf Pool View Jelutong,870000.0,22.0,1239.0,2.0,1.0
102,taman kristal apartment at tanjung tokong for sales,318000.0,46.0,700.0,2.0,1.0
103,"Mutiara View , Full Reno , 1+1 car park , Gelugor",600000.0,19.0,1050.0,2.0,1.0
104,Idaman Lavender 750Sf GOOD CONDITION Nr Sungai Ara Selasih Golden Iris,360000.0,40.0,750.0,2.0,1.0
105,Greenlane Height Block E Greenlane 100% Loan,298000.0,21.0,700.0,2.0,1.0
106,Melody Home | 700 sqft | Renovated | Beside All Season Park Ayer Itam,370000.0,2.0,700.0,2.0,1.0
107,Mutiara Idaman 2 | Seaview | Price nego Great Location in Penang town,285000.0,22.0,650.0,2.0,0.0
108,Tri Pinnacle | Seaview | High Floor | Easy access to Town The Peak,475000.0,46.0,800.0,2.0,1.0
109,"Lokasi Strategik !! Pangsa Seri Pauh, Permatang Pauh",145000.0,15.0,600.0,2.0,0.0
110,Leader Garden Condo SEAVIEW renovated well maintained Long term tenant,490000.0,47.0,1142.0,2.0,1.0
111,All Season Park | 1091 sqft | Kek Lok Si view | Farlim | Ayer Itam |,550000.0,2.0,1091.0,2.0,1.0
112,Villa Condo Desa Relau 700sqft 1 Carpark Bayan Lepas,260000.0,11.0,700.0,2.0,1.0
113,Quayside @ Clear Water Bay | Renovated | 2 Parking | Teluk Air Tawar,499000.0,18.0,1328.0,2.0,1.0
114,Green Garden | Paya Terubong | Full Loan | Cash Back,128000.0,28.0,550.0,1.0,1.0
115,Platinum III 1230Sf RENOVATED FURNISHED Nr Ramah Foresta Orchard,595000.0,50.0,1230.0,2.0,1.0
116,Mutiara condominium bukit mertajam,238000.0,15.0,750.0,2.0,1.0
117,Maritime Duplex Suite reno Furnish Jelutong Seaview Well Maintain,790000.0,22.0,980.0,1.0,1.0
118,"Cash Back RM45K!! Selling Below MV Apartment Desa Bayan, Bayan Lepas",275000.0,40.0,710.0,2.0,1.0
119,Sri York Condo Full Reno Georgetown 1085sf,595000.0,20.0,1085.0,2.0,1.0
120,[MUST VIEW] Halaman Kenanga Lip Sin Renovated Unit Best Buy,275000.0,19.0,700.0,2.0,0.0
121,Birch The Plaza Time Square Georgetowm 1050sf Fully Renovated,560000.0,20.0,1050.0,2.0,1.0
122,One Imperial - 1200sqft - Fully Furnished - 2 Carparks - Sungai Ara,630000.0,40.0,1200.0,2.0,1.0
123,Value Buy | Casa Impian | Renovated,390000.0,22.0,750.0,2.0,1.0
124,"Tree Sparina, Luxury Condominium",648000.0,11.0,1130.0,2.0,1.0
125,Taman Hui An Freehold Renovated 1 Fix Car Park Ayer Itam Farlim 700 SF,325000.0,2.0,700.0,2.0,1.0
126,Queens Waterfront Residence Q2 Dual Key Unit Seaview Well Maintain,950000.0,11.0,1000.0,1.0,2.0
127,1-Sky One Sky Condo Below Market Value Bayan Baru | FTZ | Spice Arena,560000.0,10.0,1425.0,2.0,1.0
128,Starhill Luxury Condo at Bukit Gambier - 1281 sqft - Fully Renovated,860000.0,19.0,1281.0,2.0,1.0
129,Bellisa Court at Pulau tikus - Prime location,1100000.0,34.0,1300.0,2.0,2.0
130,Platinum 3 Reno & Furnished 1320sf call now Teluk Kumbar Bayan Lepas,535000.0,50.0,1320.0,2.0,1.0
131,Setia Pinnacle 1515sqft Partial Reno Good Buy in Sungai Ara Hill View,730000.0,40.0,1515.0,3.0,1.0
132,Grace Residence Best Deal 1646sf Below Market Price in Jelutong,860000.0,22.0,1646.0,3.0,2.0
133,Nice Deal ! Promenade 1650sf 4 Car Parks & Full Furnished Bayan Baru,850000.0,10.0,1650.0,3.0,2.0
134,PINE RESIDENCE | 4 carparks | Original unit | Farlim near All Season,720000.0,28.0,1508.0,2.0,1.0
135,PINE RESIDENCE PENTHOUSE | 3070 sqft | Ori unit | Farlim All Season,1219000.0,28.0,3070.0,3.0,3.0
136,Setia Pinnacle Worthbuy 1314sqft Renovated Furnish Hill View,660000.0,40.0,1314.0,2.0,1.0
137,Apartment Mutiara Heights 4th Floor For Sale,340000.0,22.0,800.0,2.0,1.0
138,Villa Emas Condominium 2nd Floor For Sale,500000.0,11.0,850.0,2.0,1.0
139,Desa green |perak road | second floor | full loan | mark up,265000.0,22.0,700.0,2.0,1.0
140,Sri Saujana Renovated 650Sq.ft 1Fixed Carpark Block C [Full Loan],245000.0,20.0,650.0,2.0,1.0
141,"Spectrum Residence Condo CORNER Unit 1,282 sf | Furnished | 5 carparks",450000.0,15.0,1220.0,2.0,1.0
142,"Spectrum Residence Condo Unit 1,220 sf | 5 carpark lots | Kota Permai",440000.0,15.0,1220.0,2.0,1.0
143,Brand NEW Unit Condo for SALE @ BM City Bdr Perda,330000.0,15.0,1272.0,2.0,2.0
144,"Horizon Tower Condo 2,357 sqft SEAVIEW Tanjung Bungah",1220000.0,47.0,2357.0,3.0,3.0
145,Halaman Kristal At Jelutong Renovated Freehold 1 Car Park,380000.0,22.0,850.0,2.0,1.0
146,Villa Condo - Relau,350000.0,11.0,750.0,2.0,1.0
147,( Fully Renovated ) Medan Ria Apartment @ Georgetown,385000.0,20.0,750.0,2.0,1.0
148,The Peak Residences @ Tj Tokong 𝙁𝙍𝙀𝙀𝙃𝙊𝙇𝘿 |𝘽𝙀𝙎𝙏 𝘿𝙀𝘼𝙇,530000.0,46.0,1000.0,2.0,1.0
149,"I-Santorini, Affordable House, Tanjung Tokong",456960.0,46.0,850.0,2.0,1.0
150,INDAH BAY CONDO 743sf LOW DENSITY REFURBISHED TANJUNG TOKONG BUNGAH,500000.0,46.0,743.0,2.0,1.0
151,Taman Han Chiang Apartment Georgetown Freehold 750 Sqft,288000.0,22.0,750.0,2.0,0.0
152,Taman Pelangi Indah with 2 car parks,368000.0,22.0,700.0,2.0,1.0
153,Triuni Residence 1130sf Batu Uban nr Queensbay Gelugor Ready Move In,750000.0,19.0,1130.0,2.0,1.0
154,WORTH BUY! Raffel Towel Minden Gelugor 3 Rooms BRAND NEW 3C/pks 1400SF,998000.0,19.0,1400.0,2.0,2.0
155,Taman Padang Tembak Freehold Ayer Itam With Lift Renovated Furnished,275000.0,2.0,700.0,2.0,1.0
156,MUTIARA INDAH | Renovated | Well Maintained | GREAT VALUE | QUIET AREA,300000.0,19.0,700.0,2.0,1.0
157,PINE RESIDENCE | FAST SALE | Fully renovated | Farlim All Season,600000.0,28.0,1500.0,3.0,2.0
158,Pine Residence | 1642 sqft | Ori Unit | Farlim | near All Season Place,630000.0,28.0,1642.0,3.0,2.0
159,Orchard Ville 2 Car Park Cheapest In Market Well Maintain,490000.0,11.0,1116.0,2.0,1.0
160,LIGHT LINEAR 1539sf CORNER Unit 2Carpark RENOVATED Gelugor E-Gate,1100000.0,19.0,1539.0,2.0,2.0
161,One Foresta at Bayan Lepas for Sales,450000.0,11.0,900.0,2.0,1.0
162,SKYVIEW RESIDENCE 1450sf Mid Floor Jalan Perak Jelutong LIMITED,800000.0,22.0,1450.0,3.0,2.0
163,SUMMERTON CONDO 1566sf High Floor SEAVIEW 3CARPARKS Queensbay Gelugor,768000.0,11.0,1566.0,2.0,1.0
164,Desa Sri Ara LOWRISE APARTMENT 2-Rooms 500SF FULLY RENOVATED 1CARPARK,180000.0,40.0,495.0,1.0,1.0
165,96 Taman Bukit Dumbar Near Tesco E-gate 2-Rooms Corner 580sf,199000.0,22.0,580.0,1.0,0.0
166,Pine Residence at Air Itam for Sales,650000.0,28.0,1508.0,3.0,2.0
167,"Penang Gelugor Apartment, Jalan Sungai Dua",320000.0,19.0,754.0,2.0,1.0
168,SHINEVILLE PARK CONDO 1450SF (high floor) Partly renovated 2-carparks,445000.0,2.0,1450.0,3.0,1.0
169,"Tri Pinnacle, Tanjung Tokong, Penang (2 Car Park, 3-Bedroom Apartment)",450000.0,46.0,800.0,2.0,1.0
170,Idaman Lavender 3 sungai ara 750SF 3-rooms BASIC RENOVATED 1-C/CARPARK,350000.0,11.0,750.0,2.0,1.0
171,Uban Residence at Gelugor (Near Quessbay Mall) for Sales,950000.0,9.0,1964.0,3.0,2.0
172,Gurney Paragon Condo Seaview 2cp Persiaran Gurney Fully Reno,3100000.0,32.0,3120.0,3.0,3.0
173,Tree Sparina Original 1300sf Unit NICE VIEW in Sungai Ara Bayan Lepas,630000.0,11.0,1300.0,2.0,2.0
174,Corner Seaview Hillview 2397sf Alila 2 Tanjung Bungah Hilltop Alila2,2600000.0,47.0,2397.0,2.0,3.0
175,Pine Residence at Air Itam for Sales,650000.0,28.0,1600.0,3.0,2.0
176,Orange BM Newly Renovated and Partially Furnished FOR SALE,450000.0,15.0,813.0,2.0,1.0
177,The Oasis at Gelugor for Sales,550000.0,20.0,1069.0,2.0,1.0
178,I-Regency @ Bukit Gambir |𝙁𝙍𝙀𝙀𝙃𝙊𝙇𝘿 |𝘽𝙀𝙎𝙏 𝘿𝙀𝘼𝙇,600000.0,19.0,1200.0,3.0,1.0
179,Low Density Scott Residence 2100sf 2cps Brand New Reno Georgetown,1500000.0,20.0,2100.0,2.0,1.0
180,Best Buy Bellisa Court 1438sf Pulau Tikus Fully Furnished,1099000.0,34.0,1438.0,2.0,1.0
181,3cps Platino Condo Gelugor Low Density Gelugor E Gate,1800000.0,19.0,2659.0,3.0,3.0
182,Platino Luxury Condo 3cps 2659sf Gelugor Seaview,1800000.0,19.0,2659.0,3.0,3.0
183,Tropicana 218 Dual Key unit at Jalan Macalister for Sales,1550000.0,20.0,1299.0,2.0,2.0
184,Tanjung Tokong Marina Bay 1100sf 2cp Low Floor,498000.0,46.0,1100.0,2.0,1.0
185,Elit Heights at Bayan Baru for Sales,880000.0,11.0,1736.0,3.0,2.0
186,"【CHEAPEST】THE OCEAN VIEW, Karpal Singh Drive,Full Renovated High Floor",450000.0,22.0,860.0,2.0,1.0
187,Meritus Residence Fully Furnished with Build in Kitchen Cabinet,500000.0,33.0,1023.0,2.0,1.0
188,Well Maintained Pool View Sri York 1085sf Renovated Georgetown,680000.0,20.0,1085.0,2.0,1.0
189,Sri York 1085sf Good Conditions Georgetown 1cp Fully Furnished,680000.0,20.0,1085.0,2.0,1.0
190,570sf Jelutong Batu Lanchang Flat Taman Seri Damai Basic Reno,169900.0,22.0,570.0,1.0,0.0
191,Gurney Paragon Persiaran Gurney 4586sf 3cps Direct Seaview Furnished,4200000.0,32.0,4586.0,3.0,4.0
192,"Tree Sparina 1130sqft BlockA , partial furnished and well maintain",650000.0,11.0,1130.0,2.0,1.0
193,Arte S at Gelugor for Sales,720000.0,19.0,1400.0,2.0,1.0
194,Aisa Height at Air Itam for Sales,360000.0,2.0,838.0,2.0,1.0
195,Solaria Residence at Bayan Lepas for Sales,638000.0,11.0,1150.0,2.0,1.0
196,"Queens Residences Q2, Dual Key, 950sf, 2 Rooms, Facing Pool View",950000.0,11.0,950.0,1.0,2.0
197,3cps Cheaper Value Buy 5155sf Springtide Residences Tanjung Bungah,3600000.0,47.0,5155.0,3.0,5.0
198,One imperial cheapest unit ! 2 carpark original !,560000.0,40.0,1180.0,2.0,2.0
199,"Skycube Residence Condo, 1200sf, 2 car park, Renovated, High Floor.",628000.0,40.0,1200.0,2.0,1.0
200,Summerton . Original Unit . 2 CP . 1566sqft . Bayan Lepas . Queensbay,650000.0,11.0,1566.0,2.0,1.0
201,Eden Seaview . Batu Ferringhi . Fully Furnish . 925sqft . Cheap Worth,320000.0,6.0,925.0,2.0,1.0
202,98 Nibong Residence 1818 Sq.ft Sea view City View Best Buy Bayan Lepas,840000.0,11.0,1818.0,2.0,1.0
203,Best Buy !! Marinox Sky Villa 1260sf 2CP Furnished Tanjung Tokong,800000.0,46.0,1260.0,3.0,2.0
204,Iconic Vue . Batu Ferringhi . Original Unit . 850sqft . Hill View,425000.0,6.0,850.0,2.0,1.0
205,Taman Terbilang Seaview Nearby Bagan Ajam Lotus,370000.0,18.0,1100.0,2.0,1.0
206,Meritus Residensi Seaview Poolview 2 CAR PARKS near the signature,422000.0,33.0,996.0,2.0,1.0
207,Worth Buy Unit Pinang Palma Laguna,305000.0,37.0,1010.0,3.0,1.0
208,RAFFLE RAFFEL TOWER 1600sf RENOVATE FURNISH Gelugor ,1400000.0,19.0,1600.0,2.0,2.0
209,THE LIGHT LINEAR Nicely Renovated 1475sf For Sale Gelugor near Bridge,1100000.0,19.0,1475.0,2.0,2.0
210,PLATINO CONDO 2476sf Morning Sun SEAVIEW 3CARPARKS E-Gate Light Tesco,1600000.0,19.0,2476.0,3.0,4.0
